A,Mot
Spam,Thu rac
Spandrel,Spandrel
Spangle,Spangle
Spaniard,Nguoi tay ban nha
Spaniel,Spaniel
Spanish,nguoi Tay Ban Nha
Spank,Danh don
Spanker,Nguoi danh don
Spanking,Danh don
Spanner,Spanner
Spare-rib,Thit suon
Spare,Bo sung
Sparing,Thua thot
Spark-plug,Bugi
Spark,Tia lua
Sparkle,Lap lanh
Sparkler,Phao hoa que
Sparring,Sparring
Sparrow,Chim se
Sparrowhawk,Sparrowhawk
Sparse,Thua thot
Spartan,Spartan
Spasm,Co that
Spasmodic,Co that
Spastic,Co cung
Spate,Mat sau
Spathe,Spathe
Spatial,Khong gian
Spatter,Spatter
Spatula,Spatula
Spawn,De trung
Spay,Spay
Speak,Noi
Speakeasy,Speakeasy
Speaker,Loa
Speaking,Noi
Spear,Thuong
Spearhead,Mui nhon
Spearmint,Bac ha
Spearwort,Spearwort
Special,Dac biet
Specialist,Chuyen gia
Speciality,Chuyen mon
Specialize,Chuyen mon hoa
Specialty,Chuyen mon
Specie,Loai
Species,Loai
Specific,Rieng
Specification,Su chi ro
Specify,Chi dinh
Specimen,Mau vat
Specious,Tinh vi
Speck,Dom
Speckle,Lom dom
Specs,Thong so ky thuat
Spectacle,Canh tuong
Spectacled,Ngoan muc
Spectacles,Kinh deo mat
Spectacular,Hung vi
Spectator,Khan gia
Specter,Bong ma
Spectra,Spectra
Spectral,Thuoc ve pho
Spectre,Bong ma
Spectrometer,May do quang pho
Spectroscope,Kinh quang pho
Spectrum,Quang pho
Specula,Suy doan
Speculate,Suy doan
Speculum,Mo vit
Sped,Sped
Speech,Loi noi
Speechify,Speechify
Speechless,Khong noi nen loi
Speed,Toc do van toc
Speedboat,Tau cao toc
Speedo,Speedo
Speedometer,Dong ho toc do
Speedway,Duong cao toc
Speedwell,Gieng toc do
Speedy,Nhanh chong
Speleology,Speleology
Spellbind,Spellbind
Spelling,chinh ta
Spend,Dung
Spendthrift,Chi tieu
Sperm,Tinh trung
Spermaceti,Tinh trung
Spermatozoon,Spermatozoon
Spermicide,Chat diet tinh trung
Spew,Toc do
Sphagnum,Sphagnum
Sphere,Qua cau
Spherical,Hinh cau
Spheroid,Hinh cau
Sphincter,Co vong
Sphinx,Nhan su
Spice,Gia vi
Spick,Danh lua
Spicy,Cay
Spider,Con nhen
Spidery,Spidery
Spiel,Tro choi
Spigot,Spigot
Spikenard,Spikenard
Spiky,Co gai
Spillikin,Spillikin
Spillway,Tran
Spin-drier,May say quay
Spin-off,Spin off
Spin,Quay
Spina,Cot song
Spinach,Rau chan vit
Spinal,Cot song
Spindle,Con quay
Spindly,Lanh loi
Spindrift,Hoat dong keo soi
Spine-chiller,Spine chiller
Spine,Xuong song
Spineless,Khong co gai
Spinet,Spinet
Spinnaker,Spinnaker
Spinner,Spinner
Spinneret,Spinneret
Spinney,Spinney
Spinning-jenny,Spinning jenny
Spinning,Quay
Spinster,Spinster
Spiny,Spiny
Spiraea,Cay tran chau mai
Spiral,Xoan oc
Spirant,Tho
Spire,Spire
Spirea,Spirea
Spirit-lamp,Than den
Spirit-level,Muc tinh than
Spirit,Tinh than
Spirited,Tinh than
Spiritless,Khong co tinh than
Spiritual,Thuoc linh
Spiritualism,Chu nghia tam linh
Spirituous,Tinh than
Spirochaete,Spirochaete
Spirogyra,Spirogyra
Spit-roast,Nho nuong
Spit,Nho
Spite,Spite
Spiteful,Cay nghiet
Spitfire,Spitfire
Spitting,Su khac nho
Spittle,Spittle
Spittoon,Spittoon
Spiv,Spiv
Splash,Splash
Splashback,Splashback
Splashdown,Splashdown
Splat,Splat
Splatter,Splatter
Splay,Splay
Spleen,Lach
Spleenwort,Spleenwort
Splendid,Long lay
Splendiferous,Splendiferous
Splendor,Long lay
Splendour,Long lay
Splenetic,Tu tinh
Splenic,La lach
Splice,Moi noi
Splint,Nep
Splinter,Manh vo
Split-level,Phan chia cap do
Split-screen,Man hinh chia nho
Split,Tach ra
Splodge,Splodge
Splosh,Toan bo
Splotch,Splotch
Splurge,Splurge
Splutter,Splutter
Spoil,Chieu hu
Spoilage,Hu hong
Spoiler,Spoiler
Spoilsport,Spoilsport
Spoilt,Hu hong
Spoken,Noi
Spokeshave,Spokeshave
Spokesman,Nguoi phat ngon
Spokesperson,Nguoi phat ngon
Spoliation,Spoliation
Spondee,Spondee
Sponge,Bot bien
Sponger,Mieng bot bien
Spongy,Xop
Sponsor,Nha tai tro
Spontaneous,Tu phat
Spoof,Gia mao
Spook,Ma quai
Spooky,Ma quai
Spool,Spool
Spoon,Thia
Spoonbill,Spoonbill
Spoonerism,Chu nghia chieu chuong
Spoonfeed,Thia an
Spoor,Theo doi
Sporadic,Roi rac
Spore,Bao tu
Sporran,Sporran
Sport,The thao
Sporting,The thao
Sportive,Cac mon the thao
Sports,Cac mon the thao
Sportsman,Van dong vien
Sportswear,Quan ao the thao
Sporty,Cac mon the thao
Spot-weld,Cho han
Spot,Diem
Spotless,Khong ti vet
Spotlight,Dom sang
Spotted,Co dom
Spotter,Spotter
Spotty,Dom
Spouse,Vo chong
Spout,Voi
Sprain,Bong gan
Sprang,Sprang
Sprat,San nha
Sprawl,Sprawl
Spray-gun,Sung phun
Spread,Truyen di
Spreadsheet,Bang tinh
Spree,Spree
Sprig,Thanh nien
Sprightly,Lanh loi
Spring-clean,Mua xuan sach se
Spring,Mua xuan
Springboard,Springboard
Springbok,Springbok
Springer,Springer
Springtime,Mua xuan
Springy,Springy
Sprinkle,Rac
Sprinkler,Voi phun nuoc
Sprinkling,Rac
Sprint,tang toc
Sprit,Sprit
Sprite,Ma
Spritsail,Spritsail
Spritzer,ban tung toe
Sprocket,Banh xich
Sprout,Nay mam
Sprung,Bung len
Spry,Spry
Spud,Spud
Spue,Nuoc cham
Spumante,Ruou sui bot
Spume,bot
Spun,Keo soi
Spunk,Spunk
Spunky,Spunky
Spur,Thuc day
Spurge,Spurge
Spurious,Gia mao
Spurn,Cu? tuye?t
Spurt,Phun ra
Sputnik,Sputnik
Sputter,Noi nho
Sputum,Co dom
Spy,Gian diep
Spyglass,Spyglass
Spyhole,Lo gian diep
Sq.,Sq 
Sqn.,Sqn 
Squab,Squab
Squabble,Squabble
Squad,Biet doi
Squaddie,Squaddie
Squadron,Phi doi
Squalid,Squalid
Squall,Squall
Squalor,Squalor
Squander,Phung phi
Square-bashing,Be vuong
Square-rigged,Vuong van
Square,Quang truong
Squat,Ngoi xom
Squatter,Squatter
Squaw,Squaw
Squawk,Squawk
Squeak,Tieng rit
Squeaky,Tieng keu cot ket
Squeal,Tieng keu
Squeamish,Squeamish
Squeegee,Bop
Squeeze-box,Hop bop
Squeeze,Vat kiet
Squelch,Squelch
Squib,Squib
Squid,Muc ong
Squidgy,Squidgy
Squiffy,Squiffy
Squiggle,Squiggle
Squill,Squill
Squint,Nheo mat
Squire,Squire
Squirearchy,Squirearchy
Squirm,Van veo
Squirrel,Soc
Squirt,Tia nuoc
Squish,Squish
Sr.,Sr 
Sr,Sr
Srn,Srn
Ss,Ss
Sse,Sse
Ssw,Ssw
St.,St 
St,St
Stab,Cu dam
Stability,Su on dinh
Stabilize,On dinh
Stabilizer,Chat on dinh
Stable-companion,Dong hanh on dinh
Stable,On dinh
Stabling,Xep chong
Staccato,Staccato
Stack,Cay rom
Stadium,San van dong
Staff,Nhan Vien
Stag-party,Stag party
Stag,Nai
Stage-hand,Ban tay san khau
Stage-manage,Quan ly giai doan
Stage-manager,Quan ly san khau
Stage-struck,Giai doan tan cong
Stage,San khau
Stagecoach,Xe ngua
Stagecraft,Stagecraft
Stagey,San khau
Stagflation,Lam phat dinh tre
Stagger,Dao gam
Staggering,Sung sot
Staghound,Staghound
Staging,Dan dung
Stagnant,Tri tre
Stagnate,Tri tre
Stagy,Stagy
Staid,Nghiem trang
Stain,Vet ban
Stained,Do ban
Stainless,Khong gi
Stair-rod,Thanh cau thang
Stair,Cau thang
Staircase,Cau thang
Stairway,Cau thang bo
Stairwell,Cau thang
Stake-out,Co phan
Stakeholder,Co dong
Stakhanovite,The Stakhanovs
Stalactite,thach nhu
Stalagmite,mang da
Stale,Cu
Stalemate,Be tac
Stalinism,Chu nghia Stalin
Stalking-horse,Ngua di cham rai
Stallholder,Stallholder
Stallion,Stallion
Stalwart,Stalwart
Stamen,Nhi hoa
Stamina,Su ben bi
Stammer,Nguon goc
Stamp-collector,Nguoi suu tap tem
Stamp-duty,Tem dong thue
Stamp,Con tem
Stampede,Stampede
Stamping-ground,Dap dat
Stance,Lap truong
Stanch,Stanch
Stanchion,Stanchion
Stand-by,dung gan
Stand-in,Du phong
Stand-off,Cho doi
Stand-up,Dung len
Stand,Dung
Standard-bearer,Nguoi mang tieu chuan
Standard,Tieu chuan
Standardize,Chuan hoa
Standing-room,Phong thuong truc
Standing,Dung
Standoffish,Doc lap
Standpipe,Ong dung
Standpoint,Quan diem
Standstill,Be tac
Stank,Stank
Stanza,Stanza
Staphylococcus,Staphylococcus
Star-gazer,star gazer
Star-studded,Co sao
Star,Ngoi sao
Starboard,Man phai
Starch,Tinh bot
Starchy,Tinh bot
Stardust,Stardust
Stare,Nhin cham cham
Starfish,sao bien
Stark,Ngay do
Starkers,manh me hon
Starlet,Starlet
Starlight,Anh sao
Starling,Chim sao da
Starlit,Anh sao
Starry-eyed,Mat sang nhu sao
Starry,Day sao
Stars,Cac ngoi sao
Start,Bat dau
Starter,Nguoi khoi xuong
Starting-block,Khoi khoi dong
Starting,Bat dau
Startle,Giat minh
Starve,Chet doi
Starveling,Starveling
Stash,Cat
Stasis,U dong
State,Tieu bang
Stateless,Khong quoc tich
Stately,Trang nghiem
Statement,Ban tuong trinh
Stateroom,Phong ban
Statesman,Statesman
Static,Tinh
Statics,Tin hoc
Station-wagon,Toa xe ga
Station,Tram
Stationary,Dung im
Stationer,Stationer
Stationery,Van phong pham
Stationmaster,Tram truong
Statistic,Thong ke
Statistical,Thong ke
Statistics,So lieu thong ke
Statuary,Tuong dai
Statue,Tuong
Statuesque,Tuong
Statuette,Tuong
Stature,Tam voc
Status,Trang thai
Statute-book,Quy che sach
Statute,Quy che
Statutory,Luat dinh
Stave,Luu tru
Stay-at-home,O nha
Stayer,Nguoi o tro
Staying,O lai
Staysail,Staysail
Std,Std
Stead,On dinh
Steadfast,On dinh
Steady,Vung chac
Steak-house,Nha hang bit tet
Steak,Mieng bo ham
Steal,An cap
Stealth,Tang hinh
Stealthy,Len lut
Steam,Hoi nuoc
Steamboat,Tau hoi nuoc
Steamer,Tu hap
Steamroller,Xe lan duong
Steamship,Tau hoi nuoc
Steamy,Uot at
Steatite,Steatit
Steed,Chien ma
Steel,Thep
Steelworks,Luyen thep
Steely,Cung ran
Steelyard,Steelyard
Steeple,Steeple
Steeplechase,Vuot chuong ngai vat
Steeplejack,Steeplejack
Steerage,Dieu hoa
Steering-column,Can tay lai
Steering-wheel,Vo lang
Steering,He thong lai
Steersman,Steersman
Stegosaurus,Stegosaurus
Stela,Stela
Stellar,Thuoc ve sao
Sten,Soi
Stench,Mui hoi thoi
Stencil,Stencil
Stenographer,Nha viet ma
Stentorian,Stentorian
Step-,Buoc 
Step-parent,Buoc cha me
Step,Buoc
Stepbrother,Anh cua me ke
Stepchild,Con rieng
Stepdaughter,Con gai rieng
Stepfather,Cha duong
Stephanotis,Stephanotis
Stepladder,Buoc thang
Stepmother,Me ke
Steppe,Thao nguyen
Stepping-stone,Bac thang
Stepsister,Chi ke
Stepson,Con trai rieng
Stereo-,Am thanh noi 
Stereo,Am thanh noi
Stereophonic,Am thanh noi
Stereoscope,Kinh soi noi
Stereotype,Khuon mau
Sterile,Vo trung
Sterilize,Triet san
Sterling,Sterling
Sternum,Xuong uc
Steroid,Steroid
Sterol,Sterol
Stertorous,Cung nhac
Stet,Stet
Stethoscope,Ong nghe
Stetson,Stetson
Stevedore,Stevedore
Stew,mon thit ham
Steward,Quan gia
Stewardess,Tiep vien hang khong
Stick-in-the-mud,Gap hoan canh kho khan
Stick-up,Dan len
Stick,Dinh vao
Sticker,Nhan dan
Sticking-plaster,Dinh thach cao
Stickleback,Stickleback
Stickler,Stickler
Sticky,Dinh
Stiff-necked,Cung co
Stiff,Cung
Stiffen,Cung lai
Stifle,Bop nghet
Stigma,Ky thi
Stigmatize,Beu xau
Stile,Phong cach
Stiletto,Stiletto
Still-room,Phong tinh vat
Still,Con
Stillbirth,Thai chet luu
Stillborn,Thai chet luu
Stilt,Ca kheo
Stilted,Xep tang
Stilton,Stilton
Stimulant,Chat kich thich
Stimulate,Kich thich
Stimulus,Kich thich
Sting,Sting
Stinger,Stinger
Stinging-nettle,Cay tam ma
Stingray,Ca duoi
Stingy,Keo kiet
Stink,Mui hoi
Stinker,Hoi thoi
Stinking,Hoi thoi
Stint,Con ton tai
Stipend,Dong gop
Stipendiary,Uy thac
Stipple,Cung nhac
Stipulate,Quy dinh
Stir-fry,Xao
Stirrup-cup,Coc khuay
Stirrup-leather,Da lon
Stirrup-pump,Bom khuay
Stirrup,Xuong ban dap
Stitch,Khau
Stoat,Stoat
Stock-car,Xe co
Stock-in-trade,Mua ban trong kho
Stock-still,Con hang
Stock,Co phan
Stockade,Du tru
Stockbreeder,Nguoi chan nuoi
Stockbroker,Moi gioi chung khoan
Stockholder,Chu kho
Stockinet,Stockinet
Stocking-stitch,Stocking stitch
Stocking,Con hang
Stockist,Nguoi du tru
Stockjobber,Viec lam chung khoan
Stockpile,Kho du tru
Stockpot,Kho du tru
Stockroom,Kho hang
Stocktaking,Kiem ke
Stocky,Chac nich
Stockyard,Kho hang
Stodge,Tranh ne
Stodgy,Cung nhac
Stoic,Kien nhan
Stoical,Kien nhan
Stoicism,Chu nghia khac ky
Stoke,Stoke
Stokehold,Stokehold
Stokehole,Stokehole
Stoker,Stoker
Stol,Ban
Stolen,An cap
Stolid,Cung ran
Stoma,Stoma
Stomach-ache,Dau bung
Stomach-pump,May bom da day
Stomach,Cai bung
Stomacher,Cai bung
Stomp,Dam chan
Stone-cold,Da lanh
Stone-dead,Chet tuoi
Stone-deaf,Da diec
Stone-fruit,Qua hach
Stone,Soi
Stonechat,Stonechat
Stonecrop,Stonecrop
Stoned,Nem da
Stoneground,Bai da
Stonemason,Tho da
Stonewall,Buc tuong da
Stoneware,Do da
Stonewashed,Stonewashed
Stonework,Do da
Stonker,Stonker
Stony-broke,Stony break
Stony,Da
Stood,Dung vung
Stooge,Stooge
Stook,Nhin cham cham
Stool-pigeon,Con moi
Stool,Ghe dau
Stoolball,Stoolball
Stop-go,Dung lai
Stop,Dung lai
Stopcock,Khoa voi
Stopgap,Stopgap
Stopoff,Ngung lai
Stopover,Dung chan
Stoppage,Su dung lai
Stopper,Nut chan
Stopwatch,Dong ho bam gio
Storage,Kho
Store,Cua hang
Storehouse,Nha kho
Storekeeper,Thu kho
Storeman,Nguoi ban hang
Storeroom,Kho
Storey,Storey
Storied,Storied
Stork,con co
Storm-door,Cua bao
Storm,Bao tap
Stormy,Bao
Story,Cau chuyen
Storyteller,Nguoi ke chuyen
Stoup,Stoup
Stout-hearted,Manh me
Stout,bia den
Stove-pipe,Ong bep
Stow,Xep gon
Stowage,Cat giu
Stowaway,Stowaway
Strabismus,Lac dac
Straddle,Straddle
Strafe,hinh phat
Straggle,Lac dac
Straight,Dai
Straightaway,Di thang
Straighten,Lam thang
Straightforward,Thang than
Strained,Cang
Strainer,Bo loc
Strait-jacket,Ao khoac eo
Strait-laced,That lung
Strait,Eo bien
Straitened,Ky la
Strange,La lung
Stranger,Nguoi la
Strangle,Strangle
Stranglehold,Stranglehold
Strangulate,Nan not
Strangulation,Su ky la
Strap,Day deo
Straphanger,Straphanger
Strapping,Day dai
Strata,Strata
Stratagem,Muu ke
Strategic,Chien luoc
Strategy,Chien luoc
Strathspey,Strathspey
Stratify,Phan tang
Stratigraphy,Dia tang
Stratosphere,Tang binh luu
Stratum,Dia tang
Straw,Rom ra
Strawberry,Qua dau
Stray,Di lac
Streak,Streak
Streaky,Streaky
Stream,Dong
Streamer,Nguoi phat truc tiep
Streamline,Tinh gian
Street,Duong pho
Streetcar,Xe dien
Streetwalker,Nguoi di bo duong pho
Streetwise,Theo chieu duong pho
Strength,Suc manh
Strengthen,Tang cuong
Strenuous,Vat va
Streptococcus,Lien cau
Streptomycin,Streptomycin
Stress,Cang thang
Stressful,Cang thang
Stretch,Cang ra
Stretcher,Bang ca
Strew,Strew
Stria,Stria
Striate,Phan dau
Stricken,Bi tan cong
Strict,Nghiem khac
Stricture,Nghiem ngat
Stride,Sai buoc
Strident,Cung ran
Strife,Dinh cong
Strike,Danh dap
Strikebreaker,Strikebreaker
Striker,Tien dao
Striking,Noi bat
Strine,Strine
String-course,Chuoi khoa hoc
String,Soi day
Stringed,Stringed
Stringent,Nghiem khac
Stringer,Stringer
Stringy,Stringy
Strip-search,Dai tim kiem
Strip,Dai
Stripe,Va?ch so?c
Striped,Soc
Stripling,Thanh nien
Stripper,Vu nu thoat y
Striptease,Thoat y
Stripy,Stripy
Strive,Phan dau
Strobe,Nhap nhay
Stroboscope,Stroboscope
Strode,Strode
Stroke,Dot quy
Stroll,Tan bo
Strolling,Di dao
Strong-arm,Canh tay manh me
Strong-minded,Manh me
Strong,Manh
Strongbox,Tu sat
Stronghold,Thanh tri
Strongroom,Phong manh
Strontium,Stronti
Strop,Tran nha
Stroppy,Stroppy
Strove,Strove
Struck,Ket cung
Structural,Cau truc
Structuralism,Chu nghia cau truc
Structure,Ket cau
Strudel,Strudel
Struggle,Dau tranh
Strum,Strum
Strumpet,Cai tat
Strung,Strung
Strut,Di khenh khang
Strychnine,Strychnine
Sts,Sts
Stub,So khai
Stubble,Map map
Stubborn,Buong binh
Stubby,Map map
Stucco,Vua
Stuck-up,Ket cung
Stuck,Mac ket
Stud-book,Sach huong dan
Stud-farm,Trang trai ngua giong
Studding-sail,Hoc buom
Student,Sinh vien
Studio,Phong thu
Studious,Ham hoc
Study,Nghien cuu
Stuff,Do dac
Stuffed,Nhoi
Stuffing,Hon hop
Stuffy,Ngot ngat
Stultify,Trau doi
Stumble,Tinh co gap
Stumbling-block,Vap nga
Stump,Goc cay
Stumpy,Stumpy
Stun,Choang vang
Stung,Stung
Stunk,Stunk
Stunner,Nguoi choang vang
Stunning,Kinh ngac
Stunt,Dong the
Stupefy,Lam sung so
Stupendous,Tuyet voi
Stupid,Ngu
Stupor,Stupor
Sturdy,Cung cap
Sturgeon,Ca tam
Stutter,Noi lap
Stygian,???????
Style,Phong cach
Stylish,Sanh dieu
Stylist,Nha tao mau
Stylistic,Phong cach
Stylized,Cach dieu
Stylus,But cam ung
Stymie,Cam can
Styptic,Phong cach
Styrene,Styrene
Suasion,su gioi thieu
Suave,Suave
Sub-,Phu
Sub-aqua,Thuy phu
Sub-editor,Trinh bien tap phu
Sub-lieutenant,Trung uy
Sub-machine-gun,Sung may phu
Sub-plot,Cot truyen phu
Sub,Phu
Subaltern,Subaltern
Subaquatic,Subaquatic
Subatomic,Ha nguyen tu
Subcommittee,Tieu ban
Subconscious,Tiem thuc
Subcontinent,Tieu luc dia
Subcontract,Hop dong phu
Subculture,Van hoa phu
Subcutaneous,Duoi da
Subdivide,Chia nho
Subdue,Subdue
Subfusc,Subfusc
Subgroup,Nhom con
Subheading,Tieu de phu
Subhuman,Ha nhan
Subject,Mon hoc
Subjective,Chu quan
Subjoin,Subjoin
Subjugate,Khuat phuc
Subjunctive,Chu quan
Sublease,Cho thue lai
Sublet,Cho thue lai
Sublimate,Thang hoa
Sublime,Cao sieu
Subliminal,Cao sieu
Submarine,Tau ngam
Submerge,Lam ngap
Submersible,Chim
Submicroscopic,Kinh hien vi
Submission,Nop ho so
Submissive,Phuc tung
Submit,Nop
Subnormal,Sieu thuong
Suborder,Don hang con
Subordinate,Cap duoi
Suborn,Mua chuoc
Subpoena,Trat doi hau toa
Subroutine,Chuong trinh con
Subscribe,Dat mua
Subscriber,Nguoi dang ki
Subscript,Chi so duoi
Subscription,Dang ky
Subsection,Tieu muc
Subsequent,Tiep theo
Subservient,Phu cap
Subset,Tap hop con
Subside,Phu
Subsidiary,Cong ty con
Subsidize,Tro cap
Subsidy,Tro cap
Subsist,Tro cap
Subsistence,Sinh hoat phi
Subsoil,Dat nen
Subsonic,Can am
Substance,Vat chat
Substandard,Tieu chuan duoi
Substantial,Dang ke
Substantiate,Chung minh
Substantive,Thuc chat
Substitute,Thay the
Substratum,Tang duoi
Substructure,Co so ha tang
Subsume,Subume
Subtenant,Subtenant
Subtend,Subtend
Subterfuge,Su? thoa?i tha?c
Subterranean,Duoi long dat
Subtext,Van ban phu
Subtitle,Phu de
Subtle,Te nhi
Subtotal,Tong phu
Subtract,Tru di
Subtropics,Can nhiet doi
Suburb,Ngoai o
Suburban,Ngoai o
Suburbia,Ngoai o
Subvention,Ban cho
Subversive,Lat do
Subvert,Lat do
Subway,Xe dien ngam
Subzero,Am do
Suc-,Suc 
Succeed,Thanh cong
Success,Thanh cong
Successful,Thanh cong
Succession,Ke vi
Successive,Ke tiep
Successor,Nguoi ke vi
Succinct,Succinct
Succor,Succor
Succour,Succor
Succubus,Succubus
Succulent,Ngon
Succumb,Khong chong noi
Such-and-such,Nhu vay va tuong tu
Such,Nhu la
Suchlike,Nhu vay
Suck,Bu
Sucker,Nguoi hut
Suckle,Bu cu
Suckling,Bu cu
Sucrose,Sucrose
Suction,Hut
Sudanese,Nguoi Sudan
Sudden,Dot nhien
Sudorific,Sudorific
Suds,Suds
Sue,Kien
Suede,Da lon
Suet,Mo ran
Suf-,Suf 
Suffer,Dau kho
Sufferance,Sufferance
Suffice,Du
Sufficiency,Tinh day du
Sufficient,Hop ly
Suffix,Hau to
Suffocate,Ngat
Suffragan,Suffragan
Suffrage,Du
Suffragette,Suffragette
Suffuse,Lan ra
Sufi,Sufi
Sug-,Sug 
Sugar-daddy,Bo duong
Sugar,Duong
Sugary,Co vi ngot
Suggest,Goi y
Suggestible,Co the goi y
Suggestion,Goi y
Suggestive,Kheu goi
Sui,Sui
Suicidal,Tu sat
Suicide,Tu tu
Suit,Bo do
Suitable,Thich hop
Suitcase,Va li
Suite,Thuong hang
Suitor,Suitor
Sulfa,Sulfa
Sulfate,Sunfat
Sulfide,Sunfua
Sulfite,Luu huynh
Sulfonamide,Sulfonamit
Sulfur,Luu huynh
Sulfureous,Luu huynh
Sulfuric,Sulfuric
Sulfurous,Luu huynh
Sulk,Hon doi
Sulky,Hon doi
Sullen,Hon doi
Sully,Sully
Sulpha,Sulpha
Sulphate,Sunfat
Sulphide,Sulphide
Sulphite,Sulphite
Sulphonamide,Sulphonamide
Sulphur,Luu huynh
Sulphureous,Sulphureous
Sulphuric,Sulfuric
Sulphurous,Luu huynh
Sultan,Sultan
Sultana,Sultana
Sultry,Sultry
Sum,Tong
Sumac,Sumac
Summarize,Tom tat
Summary,Ban tom tat
Summation,Su tong ket
Summer-house,Ngoi nha mua he
Summer,Mua he
Summertime,Mua he
Summing-up,Tong hop
Summit,Hoi nghi thuong dinh
Summon,Trieu hoi
Summons,Giay trieu tap
Sumo,Sumo
Sump,Be phot
Sumptuary,Sumptuary
Sumptuous,Xa hoa
Sun-glasses,Kinh ram
Sun-lamp,Den mat troi
Sun-roof,Mai che nang
Sun-up,Sun up
Sun.,Mat troi 
Sun,Mat troi
Sunbathe,Tam nang
Sunbeam,Tia nang
Sunbed,Giuong tam nang
Sunblock,Sunblock
Sunburn,Chay nang
Sundae,Sundae
Sunday,Chu nhat
Sunder,Chia ra
Sundew,Sundew
Sundial,Dong ho mat troi
Sundown,Mat troi lan
Sundry,Tap hoa
Sunfish,Ca thai duong
Sunflower,Hoa huong duong
Sung,Sung
Sunk,Sunk
Sunken,Chim
Sunlight,Anh sang mat troi
Sunlit,Co anh nang
Sunni,Sunni
Sunny,Nhieu nang
Sunrise,binh Minh
Sunset,Hoang hon
Sunshade,Tam che nang
Sunshine,Anh sang mat troi
Sunspot,Vet den
Sunstroke,Say nang
Suntan,Suntan
Suntrap,Suntrap
Sup-,Sup 
Super-,Sieu 
Super,sieu
Superabundant,Du thua
Superannuate,Huu bong
Superannuation,Huu bong
Superb,Tuyet voi
Supercargo,bo tang ap
Supercharge,Supercharge
Supercharger,Bo tang ap
Supercilious,Supercilious
Supercomputer,Sieu may tinh
Superconductivity,Sieu dan
Superconductor,Chat sieu dan
Superego,Superego
Supererogation,Bau cu
Superficial,Hoi hot
Superfine,Sieu min
Superfluity,Tinh sieu viet
Superfluous,Thua
Superglue,Keo sieu dinh
Supergrass,Supergrass
Superhuman,Sieu pham
Superimpose,Trang mieng
Superintend,Trong nom
Superintendent,Giam doc
Superior,Cap tren
Superlative,So sanh nhat
Superman,Sieu nhan
Supermarket,Sieu thi
Supernatural,Sieu nhien
Supernova,Sieu tan tinh
Supernumerary,Du
Superphosphate,Superphotphat
Superpower,Sieu cuong
Superscript,Chi so tren
Supersede,Da lon
Supersonic,Sieu am thanh
Superstar,Sieu sao
Superstition,Me tin di doan
Superstore,Sieu thi
Superstructure,Kien truc thuong tang
Supertanker,Supertanker
Supertax,Supertax
Supervene,Supervene
Supervise,Giam sat
Superwoman,Nu sieu nhan
Supine,Supine
Supper,Bua toi
Supplant,Thay the
Supple,Deo dai
Supplement,Phan bo sung
Suppliant,Chat bo sung
Supplicate,Van xin
Supply-side,Ben cung
Supply,Cung cap
Support,Ung ho
Supporter,Nguoi ung ho
Supporting,Ho tro
Supportive,Ung ho
Suppose,Gia su
Supposedly,Duoc cho la
Supposition,Gia dinh
Suppositious,Bo sung
Suppository,Thuoc dan
Suppress,Kim nen
Suppurate,Cung cap
Supra-,Supra 
Supra,Supra
Supranational,Sieu quoc gia
Supremacy,Quyen toi cao
Supreme,Toi cao
Supremo,Toi cao
Surcease,Surcease
Surcharge,Phu phi
Surd,Diec
Sure-fire,Chac chan
Sure-footed,Chac chan
Sure,Chac chan roi
Surely,Chac chan
Surety,Chac chan
Surf,Luot song
Surface,Mat
Surfboard,Van luot song
Surfeit,Surfeit
Surfing,Luot van
Surge,Dang trao
Surgeon,Bac si phau thuat
Surgery,Phau thuat
Surgical,Phau thuat
Surly,Surly
Surmise,Surmise
Surmount,Surmount
Surname,Ho
Surpass,Vuot qua
Surplice,Surplice
Surplus,So du
Surprise,Bat ngo
Surreal,Sieu thuc
Surrealism,Chu nghia sieu thuc
Surrender,Dau hang
Surreptitious,Co that
Surrogate,Dai dien
Surround,Vay quanh
Surroundings,Vung lan can
Surtax,phu phi
Surtitle,Surtitle
Surveillance,Giam sat
Survey,Su khao sat
Surveyor,Kiem soat vien
Survival,Song sot
Survive,Ton tai
Sus-,Cua chung 
Sus,Cua chung
Susceptibility,Tinh nhay cam
Susceptible,Nhay cam
Sushi,sushi
Suspect,Nghi ngo
Suspend,Dinh chi
Suspended,Cam
Suspender,Dinh chi
Suspense,Hoi hop
Suspension,Dinh chi
Suspicion,dinh chi
Suspicious,Kha nghi
Suss,Suss
Sustain,Duy tri
Sustenance,Sustenance
Suttee,Suttee
Suture,Khau
Suzerain,Suzerain
Svelte,Svelte
Sw,Sw
Swab,Tam bong
Swaddle,Swaddle
Swaddling-clothes,Quan ao ta cho tre con
Swag,Swag
Swagger,Di venh vang
Swahili,Tieng Swahili
Swain,Swain
Swallow-dive,Nuot lan
Swallow-tail,Duoi chim en
Swam,Da boi
Swami,Swami
Swamp,Dam lay
Swan,Thien nga
Swank,Pho truong
Swansong,Bai hat Thien nga
Swap,Trao doi
Swapo,Trao doi
Sward,Tien len
Swarf,Swarf
Swarthy,Swarthy
Swashbuckler,Swashbuckler
Swastika,Swastika
Swat,Swat
Swatch,Swatch
Swath,Swath
Swathe,Swathe
Sway,Lac lu
Swear-word,Loi the
Swear,The
Sweat-band,Bang bo mo hoi
